Ensembl_id	Gene_name	Species	%GC	Gene length	Protein length	Age	Tau	Specific tissue	Average gene exp levels	Binding site percentage	Unique domain number	Domain numbers total	LRR domain numbers	LRR domain length total	Biosynthesis	Transport	Transporter activity	Development	Transcription	Translation	Defense response	Immune response	Cell division	Regulation of transcription	Core functions	Regulatory functions	%Disorder	%Exposed LRR	%Buried LRR	Group_based_on_NA_sensing	Type_of_sensed_NA	Group_new
ENSACAG00000001655	TLR7	Anolis	39.01	3.798857732	3.024074987	645	0.522367147	brain	1.957656994	8.2386	2	6	4	214	0	0	0	1	3	0	1	4	0	2	4	7	1.04166666666667	33.2099	32.3457	NA_sensing_TLRs	ssRNA	ssRNA
ENSACAG00000001732	TLR3	Anolis	39.65	4.119420863	2.950364854	645	0.332058182	heart	3.048067993	15.2637	5	15	12	784	0	0	0	1	4	1	1	3	0	1	6	5	0.336700336700337	28.2443	34.9618	NA_sensing_TLRs	dsRNA	dsRNA
ENSBTAG00000000477	TLR5	Cow	44.99	3.417471693	2.940516485	454	0.486404151	heart	1.802903737	10.2181	4	9	7	379	0	0	0	1	1	0	1	3	0	1	2	5	0.918484500574053	28.0992	34.5455	Other_TLRs	Other_TLRs	Other_TLRs
ENSBTAG00000006240	TLR4	Cow	42.02	4.041787319	2.925312091	382	0.658748272	lung	3.059557346	7.9667	4	10	8	413	1	1	0	1	5	1	2	8	1	1	9	12	2.97265160523187	31.0855	33.8816	Other_TLRs	Other_TLRs	Other_TLRs
ENSBTAG00000008008	TLR2	Cow	44.31	4.121329998	2.894869657	645	0.763896074	lung	1.844821324	11.9898	4	7	5	338	0	0	0	1	3	1	1	5	0	1	5	7	0.892857142857143	29.0265	33.8053	Other_TLRs	Other_TLRs	Other_TLRs
ENSBTAG00000008682	TLR3	Cow	41.34	5.005900878	2.947433722	645	0.472229487	lung	2.650021862	14.9153	4	11	9	587	0	0	0	1	4	1	1	3	0	1	6	5	0.564971751412429	27.2048	34.2302	NA_sensing_TLRs	dsRNA	dsRNA
ENSBTAG00000014031	TLR6	Cow	41.25	4.288629235	2.900913068	645	0.51348064	lung	2.928286839	10.3145	4	4	2	97	0	0	0	1	2	0	1	4	0	1	3	6	1.25786163522013	28.6232	34.7826	Other_TLRs	Other_TLRs	Other_TLRs
ENSBTAG00000014042	TLR10	Cow	40.5	4.397748877	2.910090546	78	0.560114585	lung	0.749076647	10.0985	4	5	3	158	0	0	0	1	1	0	1	3	0	1	2	5	0.61576354679803	29.0146	33.7591	Other_TLRs	Other_TLRs	Other_TLRs
ENSBTAG00000018198	TLR9	Cow	62.8	3.63124078	3.012837225	244	0.748495517	lung	0.519405799	7.6774	3	6	5	232	0	0	0	1	4	0	2	4	0	2	5	8	1.0689990281827	32.746	33.1865	NA_sensing_TLRs	Unmethylated CpG DNA	ssDNA
ENSBTAG00000022161	TLR7	Cow	42.01	4.236940132	3.02325246	645	0.614253822	lung	1.613500409	8.5389	5	9	7	325	0	0	0	1	3	0	1	4	0	2	4	7	1.89753320683112	32.8413	31.2423	NA_sensing_TLRs	ssRNA	ssRNA
ENSCPOG00000004761	TLR8	Guinea_pig	40.83	4.231342138	3.015359755	454	0.927412243	liver	0.229456545	8.9855	3	8	6	304	0	0	0	1	2	0	1	3	0	2	3	6	1.80072028811525	30.8703	33.4975	NA_sensing_TLRs	ssRNA	ssRNA
ENSCPOG00000004929	TLR3	Guinea_pig	33.85	4.163131546	2.957128198	645	0.236617789	ovary	2.813015454	13.4807	5	13	10	619	0	0	0	0	4	1	1	3	0	1	5	5	0.517063081695967	26.1584	33.9312	NA_sensing_TLRs	dsRNA	dsRNA
ENSCPOG00000005088	TLR6	Guinea_pig	39.98	3.378397901	2.901458321	645	0.652154316	liver	0.80328305	9.4221	3	4	2	118	0	0	0	1	2	0	1	4	0	1	3	6	2.11970074812968	30.2655	32.2124	Other_TLRs	Other_TLRs	Other_TLRs
ENSCPOG00000012205	TLR1	Guinea_pig	38.17	4.376138792	2.913283902	132	0.734696818	liver	0.367404479	9.6577	4	6	4	217	0	0	0	0	1	0	0	3	0	1	1	4	8.78316559926807	31.2804	33.8736	Other_TLRs	Other_TLRs	Other_TLRs
ENSCPOG00000015159	TLR4	Guinea_pig	38.57	4.053308981	2.923244019	382	0.579332266	ovary	1.863220233	8.0048	3	4	2	101	1	1	0	0	5	1	1	7	1	1	8	10	5.26315789473684	32.4723	32.3493	Other_TLRs	Other_TLRs	Other_TLRs
ENSCPOG00000015283	TLR10	Guinea_pig	39.37	3.391993072	2.890979597	3	0.924871374	liver	0.046661696	10.8108	4	6	4	213	0	0	0	0	1	0	1	3	0	1	1	5	1.25470514429109	26.6304	33.1522	Other_TLRs	Other_TLRs	Other_TLRs
ENSCPOG00000025374	TLR2	Guinea_pig	51.43	3.370698093	2.893761762	645	0.416006379	brain	0.908706019	11.6368	4	5	3	197	0	0	0	0	3	1	1	5	0	1	4	7	1.11524163568773	27.9197	34.1241	Other_TLRs	Other_TLRs	Other_TLRs
ENSDARG00000016065	TLR3	Zebrafish	35.41	3.722880611	2.95616843	454	0.489638489	testis	1.679950502	15.1717	5	10	7	429	0	0	0	0	1	0	1	3	0	1	1	5	2.32558139534884	31.4327	32.1637	NA_sensing_TLRs	dsRNA	dsRNA
ENSDARG00000019742	TLR4BA	Zebrafish	36.31	3.425697213	2.896526217	226	0.744512567	brain	0.529229027	11.0546	3	5	3	170	0	0	0	1	2	0	1	3	0	1	3	5	1.18421052631579	28.7109	33.9844	Other_TLRs	Other_TLRs	Other_TLRs
ENSDARG00000022048	TLR4BB	Zebrafish	36.6	3.716086854	2.913813852	226	0.632783995	kidney	0.269376749	10.0122	3	5	3	152	0	0	0	1	2	0	1	3	0	1	3	5	3.38164251207729	34.9876	30.273	Other_TLRs	Other_TLRs	Other_TLRs
ENSDARG00000037758	TLR2	Zebrafish	40.41	3.646991537	2.913283902	645	0.638672678	brain	1.181481265	12.8362	3	3	1	57	0	0	0	0	1	0	1	3	0	1	1	5	0.773480662983425	25.4111	33.6323	Other_TLRs	Other_TLRs	Other_TLRs
ENSDARG00000044415	TLR5A	Zebrafish	39.45	3.562530769	2.945468585	76	0.713188603	testis	1.650526277	13.0533	4	7	5	318	0	0	0	1	1	0	1	4	0	1	2	6	1.9559902200489	27.963	35.3704	Other_TLRs	Other_TLRs	Other_TLRs
ENSDARG00000044490	TLR9	Zebrafish	40.7	3.701654317	3.029383778	544	0.919691376	kidney	0.261749424	5.9869	2	4	3	119	0	0	0	1	3	0	1	5	0	2	4	8	2.8673835125448	30.6931	33.1683	NA_sensing_TLRs	Unmethylated CpG DNA	ssDNA
ENSDARG00000052322	TLR5B	Zebrafish	32.82	4.033544376	2.94792362	76	0.481843095	testis	2.273715182	13.9955	5	8	6	338	0	0	0	1	1	0	1	4	0	1	2	6	1.02960102960103	28.2692	33.6538	Other_TLRs	Other_TLRs	Other_TLRs
ENSDARG00000058045	TLR21	Zebrafish	40.61	3.497067936	2.995635195	645	0.662272304	kidney	0.836873837	10.3134	4	10	8	608	0	0	0	1	1	0	1	3	0	1	2	5	1.0230179028133	31.794	33.2149	NA_sensing_TLRs	Unmethylated CpG DNA	ssDNA
ENSDARG00000070392	TLR19	Zebrafish	38.49	3.984257202	2.984077034	187	0.736877687	kidney	0.624852468	9.5535	4	6	4	241	0	0	0	0	1	0	0	1	0	1	1	2	0.8859357696567	30.1802	32.4324	NA_sensing_TLRs	dsRNA	dsRNA
